userid,start_busStop,start_roadDes,start_y,start_x,end_busStop,end_roadDes,end_y,end_x
18,Bt Panjang Rd,Opp Lompang Rd,1.381174,103.7659,Bt Timah Rd,Bef Lewis Rd,1.321018,103.8235
18,Bt Panjang Rd,Opp Lompang Rd,1.381174,103.7659,Victoria St,Bugis Stn,1.30111,103.8564
18,Bt Panjang Rd,Opp Lompang Rd,1.381174,103.7659,Woodlands Ave 6,Opp Blk 639,1.437905,103.8035
26,Lor 2 Toa Payoh,Toa Payoh Stn,1.333185,103.8468,Jln Bt Merah,Opp Blk 2,1.286191,103.8069
45,Tampines Ave 1,Temasek Poly,1.346753,103.9326,Tampines Ave 4,Opp East View Pr Sch,1.347387,103.9381
45,Tampines Ave 1,Temasek Poly,1.346753,103.9326,Temasek Blvd,Suntec Convention Ctr,1.293178,103.8578
64,Upp Aljunied Rd,Aft Blk 4,1.332907,103.8787,Keppel Rd,Customs Port Br HQ,1.272735,103.8414
64,Upp Aljunied Rd,Aft Blk 4,1.332907,103.8787,Anson Rd,Hub Synergy Pt,1.273978,103.8449
65,Toh Tuck Ave,SMRT Ulu Pandan Depot,1.333534,103.7593,Alexandra Rd,NOL Bldg,1.274525,103.8018
68,Lor 6 Toa Payoh,Opp Toa Payoh Stadium,1.331468,103.8527,Jln Toa Payoh,Aft Blk 195,1.330814,103.8608
70,C'wealth Ave West,Opp Blk 19A CP,1.308073,103.7848,Jln Bt Merah,SPRING S'pore Bldg,1.285026,103.8137
79,Tampines Ave 2,The Holy Trinity Ch,1.349168,103.9492,Simei St 3,Opp Simei Stn,1.342118,103.9535
79,Tampines Ave 2,The Holy Trinity Ch,1.349168,103.9492,New Upp Changi Rd,Bedok Stn,1.323536,103.9289
94,Bt Batok West Ave 4,Blk 331,1.363897,103.7472,Woodlands Sq,Woodlands Reg Int,1.436621,103.7859
98,Napier Rd,S'pore Botanic Gdns,1.306773,103.8195,Pasir Ris Dr 8,Aft Pasir Ris St 53,1.373238,103.9483
99,Bedok Nth Ave 3,Bet Blks 139/140,1.329409,103.9348,Paya Lebar Rd,Opp Trinity @ Paya Lebar,1.331558,103.8895
99,Bedok Nth Ave 3,Blk 403,1.330047,103.9344,Paya Lebar Rd,Opp Trinity @ Paya Lebar,1.331558,103.8895
100,Pioneer Rd Nth,Blk 840,1.344043,103.6919,Pioneer Rd Nth,Blk 705,1.341016,103.6943
100,S'goon Rd,Broadway Hotel,1.308794,103.8532,S'goon Ave 2,Blk 238,1.353553,103.8682
101,Ang Mo Kio Ave 3,Blk 554,1.371732,103.8702,Upp S'goon Rd,Bef Nativity Ch Ctr,1.366238,103.8913
101,Hougang Ave 8,Opp Punggol Pk,1.375141,103.8972,Sengkang Sq,Sengkang Int,1.391781,103.8959
104,Cecil St,Prudential Twr,1.282555,103.85,Beach Rd,The Gateway,1.299072,103.8589
105,S'goon Rd,Kwong Wai Shiu Hosp,1.317834,103.86,MacPherson Rd,Gulab Bldg,1.329462,103.874
110,Gombak Dr,MINDEF CP,1.36904,103.7612,Choa Chu Kang Cres,Opp Blk 666,1.402749,103.7505
110,Choa Chu Kang Cres,Opp Blk 666,1.402749,103.7505,Bt Batok Ctrl,Bt Batok CC,1.349994,103.7477
111,Tampines Ave 2,Tampines East CC,1.353033,103.9548,PTB2 Basement,Changi Airport PTB2,1.355093,103.9892
122,Cantonment Link,Blk 16,1.273461,103.8403,Tg Pagar Rd,Tg Pagar Plaza,1.275192,103.8431
127,S'goon Rd,St. Michael's Pl,1.324773,103.8656,Orchard Rd,Midpoint Orchard,1.301543,103.8385
134,Bedok Sth Rd,Blk 71,1.320671,103.9426,Eunos Link,Blk 637,1.33074,103.9037
146,Jelapang Rd,Blk 516,1.387125,103.7676,Orchard Rd,Dhoby Ghaut Stn,1.299333,103.8453
146,Jelapang Rd,Blk 516,1.387125,103.7676,Orchard Rd,Dhoby Ghaut Stn,1.299333,103.8453
