userid,start_busStop,start_busDes,start_roadDes,start_x,start_y,end_busStop,end_busDes,end_roadDes,end_x,end_y,userid,
18,44241,Opp Lompang Rd,Bt Panjang Rd,103.7659,1.381174,40091,Bef Lewis Rd,Bt Timah Rd,103.8235,1.321018,18,
18,44241,Opp Lompang Rd,Bt Panjang Rd,103.7659,1.381174,1059,Bugis Stn,Victoria St,103.8564,1.30111,18,
18,44241,Opp Lompang Rd,Bt Panjang Rd,103.7659,1.381174,47549,Opp Blk 639,Woodlands Ave 6,103.8035,1.437905,18,
26,52189,Toa Payoh Stn,Lor 2 Toa Payoh,103.8468,1.333185,10131,Opp Blk 2,Jln Bt Merah,103.8069,1.286191,26,
45,75239,Temasek Poly,Tampines Ave 1,103.9326,1.346753,76289,Opp East View Pr Sch,Tampines Ave 4,103.9381,1.347387,45,
45,75239,Temasek Poly,Tampines Ave 1,103.9326,1.346753,2151,Suntec Convention Ctr,Temasek Blvd,103.8578,1.293178,45,
64,70049,Aft Blk 4,Upp Aljunied Rd,103.8787,1.332907,5641,Customs Port Br HQ,Keppel Rd,103.8414,1.272735,64,
64,70049,Aft Blk 4,Upp Aljunied Rd,103.8787,1.332907,3222,Hub Synergy Pt,Anson Rd,103.8449,1.273978,64,
65,28109,SMRT Ulu Pandan Depot,Toh Tuck Ave,103.7593,1.333534,15041,NOL Bldg,Alexandra Rd,103.8018,1.274525,65,
68,52329,Opp Toa Payoh Stadium,Lor 6 Toa Payoh,103.8527,1.331468,52081,Aft Blk 195,Jln Toa Payoh,103.8608,1.330814,68,
70,19019,Opp Blk 19A CP,C'wealth Ave West,103.7848,1.308073,10101,SPRING S'pore Bldg,Jln Bt Merah,103.8137,1.285026,70,
79,76089,The Holy Trinity Ch,Tampines Ave 2,103.9492,1.349168,84039,Bedok Stn,New Upp Changi Rd,103.9289,1.323536,79,
79,76089,The Holy Trinity Ch,Tampines Ave 2,103.9492,1.349168,96161,Opp Simei Stn,Simei St 3,103.9535,1.342118,79,
94,43491,Blk 331,Bt Batok West Ave 4,103.7472,1.363897,46009,Woodlands Reg Int,Woodlands Sq,103.7859,1.436621,94,
98,13019,S'pore Botanic Gdns,Napier Rd,103.8195,1.306773,77321,Aft Pasir Ris St 53,Pasir Ris Dr 8,103.9483,1.373238,98,
99,84219,Bet Blks 139/140,Bedok Nth Ave 3,103.9348,1.329409,70279,Opp Trinity @ Paya Lebar,Paya Lebar Rd,103.8895,1.331558,99,
99,84211,Blk 403,Bedok Nth Ave 3,103.9344,1.330047,70279,Opp Trinity @ Paya Lebar,Paya Lebar Rd,103.8895,1.331558,99,
100,7111,Broadway Hotel,S'goon Rd,103.8532,1.308794,66369,Blk 238,S'goon Ave 2,103.8682,1.353553,100,
100,27329,Blk 840,Pioneer Rd Nth,103.6919,1.344043,27309,Blk 705,Pioneer Rd Nth,103.6943,1.341016,100,
