target,source,flow,distance,TargetBusstopName,SourceBusstopName
3222,70049,1,Long,Anson Rd,Upp Aljunied Rd
3223,96069,1,Long,Anson Rd,Upp Changi Rd East
3501,60119,1,Long,Bayfront Ave,Bendemeer Rd
3509,75259,1,Long,Bayfront Ave,Tampines Ave 1
1519,54219,1,Long,Beach Rd,Ang Mo Kio Ave 3
1519,3021,1,Short,Beach Rd,Cecil St
1421,80011,1,Short,Beach Rd,Kallang Rd
1419,11031,1,Long,Beach Rd,Queensway
1519,1541,1,Short,Beach Rd,Rochor Rd
4179,28571,1,Long,Bras Basah Rd,Jurong West St 42
3151,10149,1,Long,Cecil St,Tiong Bahru Rd
4311,40189,2,Long,Clemenceau Ave,Scotts Rd
1339,56049,1,Long,Crawford St,Upp Thomson Rd
1339,6081,1,Long,Crawford St,Zion Rd
5022,54189,1,Long,Eu Tong Sen St,Ang Mo Kio Ave 4
5022,50351,1,Long,Eu Tong Sen St,Dorset Rd
5013,93069,1,Long,Eu Tong Sen St,East Coast Rd
5022,18331,1,Long,Eu Tong Sen St,Lower Kent Ridge Rd
4222,1329,3,Long,Eu Tong Sen St,Nth Bridge Rd
5012,44299,1,Long,Eu Tong Sen St,Teck Whye Ave
5022,50038,1,Long,Eu Tong Sen St,Thomson Rd
3011,91089,1,Long,Fullerton Rd,Fort Rd
3011,92059,2,Long,Fullerton Rd,Marine Parade Rd
4223,60119,2,Long,Hill St,Bendemeer Rd
4143,10231,1,Long,Hill St,Ganges Ave
4223,52081,1,Long,Hill St,Jln Toa Payoh
4223,80029,1,Long,Hill St,Kallang Rd
4142,84019,1,Long,Hill St,New Upp Changi Rd
4223,63369,1,Long,Hill St,Yio Chu Kang Link
1311,83079,1,Long,Kallang Rd,Changi Rd
1311,11309,1,Long,Kallang Rd,Sixth Ave
98239,65061,1,Long,Loyang Ave,Punggol Rd
98129,65011,1,Long,Loyang Way,Punggol Rd
3391,42029,1,Long,Marina Blvd,Dunearn Rd
3381,10149,1,Long,Marina Blvd,Tiong Bahru Rd
5039,10079,1,Long,New Bridge Rd,Jln Bt Merah
1029,11511,1,Long,Nth Bridge Rd,Alexandra Rd
4167,40019,1,Long,Nth Bridge Rd,Bt Timah Rd
4168,14209,1,Long,Nth Bridge Rd,Depot Rd
4168,5012,1,Long,Nth Bridge Rd,Eu Tong Sen St
4167,10119,1,Long,Nth Bridge Rd,Jln Bt Merah
4167,2051,1,Short,Nth Bridge Rd,Raffles Ave
1559,93019,1,Long,Ophir Rd,Marine Parade Rd
3219,83101,1,Long,Palmer Rd,Jln Eunos
3211,5199,1,Long,Palmer Rd,Sth Bridge Rd
3211,5129,1,Long,Palmer Rd,Upp Pickering St
2051,44301,1,Long,Raffles Ave,Bangkit Rd
3059,15209,1,Long,Raffles Quay,Pasir Panjang Rd
3111,1419,1,Long,Robinson Rd,Beach Rd
3031,81141,1,Long,Robinson Rd,Guillemard Rd
3111,50159,1,Long,Robinson Rd,Kim Keat Rd
3031,91059,1,Long,Robinson Rd,Mountbatten Rd
3111,96109,1,Long,Robinson Rd,Simei Ave
3031,82071,1,Long,Robinson Rd,Tg Katong Rd
3129,5013,1,Long,Shenton Way,Eu Tong Sen St
3129,10079,1,Long,Shenton Way,Jln Bt Merah
3129,10149,1,Long,Shenton Way,Tiong Bahru Rd
4111,53211,1,Long,Stamford Rd,Bishan Rd
5029,6131,1,Long,Sth Bridge Rd,Zion Rd
2151,92241,2,Long,Temasek Blvd,Amber Rd
2151,92049,1,Long,Temasek Blvd,Marine Parade Rd
2151,80159,1,Short,Temasek Blvd,Nicoll Highway
2151,44371,1,Long,Temasek Blvd,Petir Rd
2151,75239,1,Long,Temasek Blvd,Tampines Ave 1
1059,44241,1,Long,Victoria St,Bt Panjang Rd
1112,83029,1,Long,Victoria St,Changi Rd
1112,80049,1,Long,Victoria St,Geylang Rd
1013,7371,1,Long,Victoria St,Lavender St
1112,80101,1,Long,Victoria St,Lor 1 Geylang
4151,44221,1,Long,Victoria St,Pending Rd
4151,44201,2,Long,Victoria St,Petir Rd
1012,76089,1,Long,Victoria St,Tampines Ave 2
1019,14129,1,Long,Victoria St,Telok Blangah Rd
1012,83121,1,Long,Victoria St,Telok Kurau Rd
1059,10149,1,Long,Victoria St,Tiong Bahru Rd
5039,20179,1,Long,New Bridge Rd,West Coast Rd
5039,14049,1,Long,New Bridge Rd,Henderson Rd
5039,11099,1,Long,New Bridge Rd,Farrer Rd
5049,10201,1,Long,New Bridge Rd,Tiong Bahru Rd
5411,5631,1,Long,Tg Pagar Rd,Cantonment Link
5641,70049,1,Long,Keppel Rd,Upp Aljunied Rd
5641,72049,1,Long,Keppel Rd,Jln Tenaga
6011,6031,2,Long,Outram Rd,Chin Swee Rd
6051,10231,1,Short,Tiong Bahru Rd,Ganges Ave
6051,3041,1,Long,Tiong Bahru Rd,Cross St
6081,72081,1,Long,Zion Rd,Jln Damai
6189,4239,1,Short,Havelock Rd,New Bridge Rd
7011,63199,1,Long,Selegie Rd,Yio Chu Kang Rd
7011,59331,1,Long,Selegie Rd,Yishun Ave 3
7021,52451,1,Long,Selegie Rd,Whampoa Rd
7021,50159,1,Long,Selegie Rd,Kim Keat Rd
7329,10381,1,Long,Jln Besar,Lower Delta Rd
7361,7249,1,Short,Lavender St,Lavender St
7371,61061,1,Long,Lavender St,Potong Pasir Ave 1
7371,62129,1,Long,Lavender St,Upp S'goon Rd
7371,53389,1,Long,Lavender St,Bishan St 22
7379,1012,1,Long,Lavender St,Victoria St
7509,9213,1,Long,Bencoolen St,Scotts Rd
7531,15139,1,Long,Rochor Canal Rd,Sth Buona Vista Rd
7539,44819,1,Long,Sungei Rd,Senja Rd
7551,44261,1,Long,Rochor Rd,Bt Panjang Rd
7561,53299,1,Long,Middle Rd,Shunfu Rd
7571,10199,1,Long,Middle Rd,Tiong Bahru Rd
7571,10119,1,Long,Middle Rd,Jln Bt Merah
7571,61099,1,Long,Middle Rd,Potong Pasir Ave 2
7571,10079,2,Long,Middle Rd,Jln Bt Merah
7571,10299,1,Long,Middle Rd,Alexandra Rd
7589,93019,1,Long,Ophir Rd,Marine Parade Rd
8019,6051,1,Long,Clemenceau Ave,Tiong Bahru Rd
8031,61101,1,Long,Penang Rd,Potong Pasir Ave 1
8031,53041,1,Long,Penang Rd,Upp Thomson Rd
8041,92089,1,Long,Orchard Rd,Marine Parade Rd
8041,44299,1,Long,Orchard Rd,Teck Whye Ave
8041,53361,1,Long,Orchard Rd,Sin Ming Ave
8057,44611,2,Long,Orchard Rd,Jelapang Rd
8057,91091,1,Long,Orchard Rd,Mountbatten Rd
8057,28519,1,Long,Orchard Rd,Jurong West Ave 1
8069,28099,1,Long,Bras Basah Rd,Boon Lay Way
8121,50211,1,Long,Somerset Rd,Balestier Rd
8138,28659,1,Long,Orchard Rd,Toh Guan Rd
9011,43059,1,Long,Orchard Turn,Upp Bt Timah Rd
9022,51011,1,Long,Orchard Blvd,Thomson Rd
9023,44241,1,Long,Orchard Turn,Bt Panjang Rd
9023,53169,1,Long,Orchard Turn,Marymount Rd
9023,10069,1,Long,Orchard Turn,Jln Bt Merah
9037,52031,1,Long,Orchard Rd,Braddell Rd
9038,60161,1,Long,Orchard Rd,S'goon Rd
9038,60139,1,Long,Orchard Rd,Bendemeer Rd
9047,53289,1,Long,Orchard Rd,Bishan St 13
9179,28459,1,Long,Orchard Rd,Jurong East Ave 1
9212,84459,1,Long,Scotts Rd,Bedok Nth Rd
9213,10209,2,Long,Scotts Rd,Tiong Bahru Rd
9219,92059,1,Long,Scotts Rd,Marine Parade Rd
9219,14229,1,Long,Scotts Rd,Kg Bahru Rd
9219,54229,1,Long,Scotts Rd,Ang Mo Kio Ave 3
